0, 1.10687e+00, 1.10798e+00, 0.00000e+00, 3.64e+01, 4.49e+01, 10000
1, 8.47550e-01, 7.68788e-01, 7.95313e+01, 3.96e+01, 4.81e+01, 10000
2, 7.35653e-01, 6.26680e-01, 1.09599e+02, 3.40e+01, 4.26e+01, 10000
3, 7.01974e-01, 5.60417e-01, 1.42117e+02, 3.29e+01, 4.16e+01, 10000
4, 7.05454e-01, 5.35778e-01, 1.70211e+02, 3.37e+01, 4.23e+01, 10000
5, 7.00950e-01, 5.16597e-01, 1.84869e+02, 3.05e+01, 3.93e+01, 10000
6, 6.96830e-01, 5.09717e-01, 1.87623e+02, 2.87e+01, 3.75e+01, 10000
7, 6.98413e-01, 5.13058e-01, 1.85868e+02, 2.79e+01, 3.67e+01, 10000
8, 7.02248e-01, 5.22847e-01, 1.79924e+02, 3.00e+01, 3.89e+01, 10000
9, 6.96966e-01, 5.24290e-01, 1.73200e+02, 2.75e+01, 3.65e+01, 10000
10, 6.88735e-01, 5.18446e-01, 1.70807e+02, 2.84e+01, 3.72e+01, 10000
11, 6.82988e-01, 5.12967e-01, 1.70534e+02, 2.82e+01, 3.71e+01, 10000
12, 6.71901e-01, 5.06489e-01, 1.65919e+02, 2.88e+01, 3.77e+01, 10000
13, 6.52647e-01, 4.99454e-01, 1.53693e+02, 2.97e+01, 3.86e+01, 10000
14, 6.32505e-01, 4.96981e-01, 1.36021e+02, 3.07e+01, 3.97e+01, 10000
15, 6.13276e-01, 4.96285e-01, 1.17487e+02, 3.41e+01, 4.30e+01, 10000
16, 5.95884e-01, 4.95388e-01, 1.00992e+02, 3.15e+01, 4.05e+01, 10000
17, 5.87902e-01, 5.01468e-01, 8.69363e+01, 3.50e+01, 4.41e+01, 10000
18, 5.94615e-01, 5.20698e-01, 7.44370e+01, 3.55e+01, 4.45e+01, 10000
19, 6.65613e-01, 6.02927e-01, 6.32883e+01, 2.98e+01, 3.89e+01, 10000
20, 5.92085e-01, 5.40150e-01, 5.24742e+01, 3.31e+01, 4.21e+01, 10000
21, 5.81568e-01, 5.39228e-01, 4.28799e+01, 3.65e+01, 4.54e+01, 10000
22, 5.66279e-01, 5.30914e-01, 3.58961e+01, 3.41e+01, 4.32e+01, 10000
23, 5.45354e-01, 5.14003e-01, 3.18652e+01, 3.49e+01, 4.39e+01, 10000
24, 5.29289e-01, 4.96883e-01, 3.29029e+01, 3.51e+01, 4.41e+01, 10000
25, 5.29395e-01, 4.97771e-01, 3.21219e+01, 3.62e+01, 4.53e+01, 10000
26, 5.24098e-01, 4.95269e-01, 2.93247e+01, 3.65e+01, 4.57e+01, 10000
27, 5.13552e-01, 4.85831e-01, 2.82075e+01, 4.12e+01, 5.03e+01, 10000
28, 4.78499e-01, 4.50949e-01, 2.80009e+01, 4.10e+01, 5.00e+01, 10000
29, 4.85114e-01, 4.54127e-01, 3.14415e+01, 3.75e+01, 4.66e+01, 10000
30, 4.63917e-01, 4.25370e-01, 3.89724e+01, 3.74e+01, 4.64e+01, 10000
31, 6.41182e-01, 5.96903e-01, 4.48754e+01, 3.46e+01, 4.35e+01, 10000
32, 5.19158e-01, 4.70628e-01, 4.90006e+01, 3.81e+01, 4.71e+01, 10000
33, 4.46024e-01, 3.98189e-01, 4.82329e+01, 3.84e+01, 4.74e+01, 10000
34, 4.53212e-01, 4.05409e-01, 4.82086e+01, 4.34e+01, 5.23e+01, 10000
35, 4.34016e-01, 3.91431e-01, 4.29765e+01, 4.23e+01, 5.13e+01, 10000
36, 4.09608e-01, 3.71926e-01, 3.80540e+01, 4.20e+01, 5.11e+01, 10000
37, 4.23144e-01, 3.85378e-01, 3.81512e+01, 4.15e+01, 5.06e+01, 10000
38, 4.19692e-01, 3.80385e-01, 3.96879e+01, 3.70e+01, 4.60e+01, 10000
39, 4.12057e-01, 3.73669e-01, 3.87617e+01, 4.21e+01, 5.11e+01, 10000
40, 3.99936e-01, 3.64849e-01, 3.54517e+01, 4.15e+01, 5.06e+01, 10000
41, 4.05645e-01, 3.72619e-01, 3.33989e+01, 3.77e+01, 4.66e+01, 10000
42, 4.03908e-01, 3.71900e-01, 3.23799e+01, 4.28e+01, 5.18e+01, 10000
43, 3.93596e-01, 3.62974e-01, 3.09849e+01, 4.29e+01, 5.20e+01, 10000
44, 3.91453e-01, 3.60588e-01, 3.12263e+01, 3.84e+01, 4.75e+01, 10000
45, 3.82772e-01, 3.50969e-01, 3.21541e+01, 3.90e+01, 4.81e+01, 10000
